time,age,sex,education,relevant_ed,location,remoteness,company_type,experience,contract,salary,contentment,happiness,languages,position,other_tech,sci_fi
2016.09.09. 12:10:19,25-30,Férfi,Szakközépiskola,Igen,Budapest,Bejárós,Startup,4,Teljes munkaidős - állandó,"400 000,00 Ft",5,5,Javascript,Frontend fejlesztő,,
2016.09.09. 12:10:37,20-25,Férfi,Egyetem,Igen,Vidék,Bejárós,Nemzetközi cég,2,Diák,"60 000,00 Ft",1,1,"PHP, Javascript, css3, html5, angularJS, ajax",Web-developer,"Laravel, bootstrap, prestashop",Star Wars
2016.09.09. 12:15:57,20-25,Nő,Egyetem,Igen,Budapest,Bejárós,Kis- és középvállalkozás,0,Teljes munkaidős - állandó,"140 000,00 Ft",1,1,"Javascript, Java",Junior Frontend fejlesztő,"LESS, SASS, jQuery",Star Wars
2016.09.09. 12:20:27,40+,Férfi,Egyetem,Igen,Külföld,Mindkettő,Nemzetközi cég,25,Teljes munkaidős - állandó,"1 200 000,00 Ft",4,4,"C#, C++, Java",Architekt,SQL Server,He?
2016.09.09. 12:21:09,35-40,Férfi,Főiskola,Igen,Budapest,Bejárós,Nemzetközi cég,6,Teljes munkaidős - állandó,"300 000,00 Ft",4,2,"C++, Python",Test Automation Engineer,RobotFramework,He?
2016.09.09. 12:23:52,30-35,Férfi,Szakközépiskola,Nem,Budapest,Mindkettő,Kis- és középvállalkozás,11,Teljes munkaidős - állandó,"280 000,00 Ft",3,3,"PHP, Javascript, Python",Senior,"Laravel, Django, ExpressJS, MongoDB, MySQL, Oracle, Redis, Memcached, LESS, Gulp",He?
2016.09.09. 12:24:45,25-30,Férfi,Főiskola,Igen,Budapest,Bejárós,Nemzetközi cég,3,Teljes munkaidős - állandó,"390 000,00 Ft",3,3,"PHP, Javascript, C#, Python, Perl",Test Automation Expert,"Bootstrap, Jquery, Yii",Star Wars
2016.09.09. 12:25:35,20-25,Férfi,Szakközépiskola,Nem,Külföld,Távmunka,Nemzetközi cég,13,Szabadúszó,"660 000,00 Ft",3,2,"PHP, Javascript, C++, Java","full stack dev, 3d dev","angular, opengl",Star Wars
2016.09.09. 12:27:21,25-30,Férfi,Főiskola,Nem,Budapest,Bejárós,Kis- és középvállalkozás,4,Teljes munkaidős - állandó,"220 000,00 Ft",4,4,"PHP, Javascript",frontend fejlesztő / webdesigner,,Star Trek
2016.09.09. 12:35:20,30-35,Férfi,Főiskola,Igen,Budapest,Bejárós,Kis- és középvállalkozás,8,Teljes munkaidős - állandó,"350 000,00 Ft",3,4,"PHP, Javascript",Vezető fejlesztő,"LESS, SASS, Laravel, Angular",He?
2016.09.09. 12:36:22,30-35,Férfi,Főiskola,Igen,Budapest,Mindkettő,Kis- és középvállalkozás,10,"Szabadúszó, alkalmazott, válallakozó","700 000,00 Ft",4,3,"PHP, Javascript, Python",Vezető fejlesztő,,Star Wars
